name,feed_url,description,language,country_region,owner_type,content_format,update_class,notes
BBC News - World,https://feeds.bbci.co.uk/news/world/rss.xml,"BBC World section: international news, features and analysis from BBC News.",en,UK / global,public service broadcaster,headline+excerpt,high,Standard BBC RSS feed; supports many topical sub-feeds.
CNN - World,http://rss.cnn.com/rss/edition_world.rss,CNN.com World edition: breaking and in-depth world news coverage.,en,US / global,commercial cable news,headline+excerpt,high,Global focus; complements CNN Top Stories feed.
Associated Press - World Top News,http://hosted.ap.org/lineups/WORLDHEADS.rss,AP hosted World Heads: latest world news headlines from Associated Press.,en,US / global,news agency (wire service),headline+excerpt,high,Syndicated wire headlines; widely used by other outlets.
Al Jazeera English - All News,https://www.aljazeera.com/xml/rss/all.xml,"Al Jazeera English combined feed with news, analysis and features.",en,Qatar / global,state-funded international broadcaster,headline+excerpt,high,"Includes world news plus themed sections (economy, conflicts, investigations, etc.)."
Financial Times - World,https://www.ft.com/world?format=rss,"Financial Times World section: global politics, economics, business and markets.",en,UK / global,commercial newspaper,headline+excerpt,high,Paywalled articles; metadata and excerpts are still available via RSS.
NPR - World,https://feeds.npr.org/1004/rss.xml,"NPR World: international politics, culture, business and global trends.",en,US / global,non-profit public media,headline+excerpt,medium,Mix of text stories and audio pieces; stable section-specific feed.
Deutsche Welle - World (EN),https://rss.dw.com/rdf/rss-en-world,DW World: international news from German public broadcaster Deutsche Welle.,en,Germany / global,public international broadcaster,headline+excerpt,high,"Part of DW’s full English RSS catalogue (all, Europe, Africa, business, etc.)."
China Daily - World,http://www.chinadaily.com.cn/rss/world_rss.xml,China Daily English World News feed.,en,China / global,state-run newspaper,headline+excerpt,high,Official English-language outlet; multiple topic-specific RSS feeds.
New York Times - World,https://rss.nytimes.com/services/xml/rss/nyt/World.xml,New York Times World section RSS feed.,en,US / global,commercial newspaper,headline+excerpt,high,Uses standard NYT RSS pattern /services/xml/rss/nyt/{Section}.xml.
Washington Post - World,https://feeds.washingtonpost.com/rss/world,Washington Post World section: breaking world news and analysis.,en,US / global,commercial newspaper,headline+excerpt,high,Dedicated world-only feed; complements homepage and national feeds.
The Guardian - World,https://www.theguardian.com/world/rss,"The Guardian World news, with progressive and independent editorial stance.",en,UK / global,trust-owned newspaper,headline+excerpt,high,Guardian offers many region-specific and topic-specific RSS feeds.
Fox News - World,https://moxie.foxnews.com/google-publisher/world.xml,"Fox News World: world politics, conflicts and international stories from a conservative US outlet.",en,US / global,commercial cable news,headline+excerpt,high,"Part of Fox’s official RSS suite (latest, US, politics, opinion, etc.)."
Breitbart News - Main,https://feeds.feedburner.com/breitbart,"Breitbart main RSS: conservative news and opinion on US and world politics, economy and culture.",en,US,partisan digital outlet,headline+excerpt,high,"Strongly right-wing; includes politics, world, economy and culture in one stream."
Democracy Now! - Daily Show,https://www.democracynow.org/podcast.xml,Democracy Now! independent daily TV & radio news program (audio RSS).,en,US / global,non-profit independent media,audio+summary,high,Hour-long show with global headlines and interviews; left-progressive editorial line.
Jacobin Magazine,https://jacobin.com/feed/,"Jacobin: socialist perspectives on politics, labor, and economics.",en,US,ideological magazine,headline+excerpt,medium,Explicitly socialist orientation; useful as left-wing commentary source.
Haaretz - World News,https://haaretz.com/srv/world-news-rss,Haaretz World News: international coverage from liberal Israeli newspaper.,en,Israel / global,commercial newspaper,headline+excerpt,medium,Haaretz is broadly liberal/left-leaning; separate Israel and world feeds available.
Jerusalem Post - Breaking News,https://www.jpost.com/rss/rssfeedsheadlines.aspx,"Jerusalem Post breaking news feed covering Israel, the Middle East and world stories.",en,Israel / Middle East,commercial newspaper,headline+excerpt,high,JPost offers multiple RSS feeds; this one focuses on headlines and breaking items.
RT (Russia Today) - News,http://rss.russiatoday.ru,RT news feed from Russian state-funded international TV network.,en,Russia / global,state-funded broadcaster,headline+excerpt,high,RT provides world and Russia-focused coverage; considered pro-Kremlin.
TASS - All News,http://tass.com/rss/v2.xml,TASS News Agency combined RSS covering Russian and world news.,en,Russia / global,state news agency,headline+excerpt,high,Official Russian state newswire; single v2.xml feed for all sections.
The Moscow Times - News,https://www.themoscowtimes.com/rss/news,The Moscow Times: independent English-language news about Russia.,en,Russia,independent digital newspaper,headline+excerpt,medium,Often critical of Russian government; complements TASS/RT state perspectives.
The Hindu - World News,https://www.thehindu.com/news/international/feeder/default.rss,The Hindu international news feed from major Indian daily.,en,India / global,commercial newspaper,headline+excerpt,medium,"The Hindu is known for relatively balanced, serious coverage; multiple section RSS feeds."
NDTV - World News,https://feeds.feedburner.com/ndtvnews-world-news,NDTV World News: international coverage from leading Indian TV network.,en,India / global,commercial TV + digital,headline+excerpt,high,"Part of NDTV’s broader RSS offering (India, business, sports, etc.)."
UNIAN - News Agency (EN),https://rss.unian.net/site/news_eng.rss,UNIAN English-language news agency feed on Ukrainian and world events.,en,Ukraine,news agency,headline+excerpt,high,"Covers politics, economy, sports and world news from a Ukrainian perspective."
Ukrainska Pravda - All News,https://www.pravda.com.ua/rss/,Ukrainska Pravda combined RSS: socio-political and economic events in Ukraine.,uk,Ukraine,independent online newspaper,headline+excerpt,high,Major Ukrainian outlet; useful for original-language coverage.
Euromaidan Press,https://euromaidanpress.com/feed,Euromaidan Press: English-language independent news and analysis on Ukraine.,en,Ukraine / global,independent digital outlet,headline+excerpt,medium,"Volunteer-launched; focuses on war, reforms and Russian aggression."
Le Monde - International,https://www.lemonde.fr/international/rss_full.xml,"Le Monde International section: articles, videos and infographics on world news.",fr,France / global,commercial newspaper,headline+excerpt,high,"Le Monde RSS pattern adds rss_full.xml to section URLs; feeds include title, summary and URL."
Der Spiegel - Ausland,https://www.spiegel.de/ausland/index.rss,Der Spiegel Ausland: international news from major German weekly.,de,Germany / global,commercial news magazine,headline+excerpt,medium,"Spiegel offers full-site and section-specific RSS feeds (politics, economy, etc.)."
Sydney Morning Herald - World,https://www.smh.com.au/rss/world.xml,"Sydney Morning Herald World: latest world news, events, analysis and opinion.",en,Australia / global,commercial newspaper,headline+excerpt,medium,"Part of SMH’s larger RSS set (politics, business, etc.)."
The Japan Times - Top Stories,https://www.japantimes.co.jp/feed/topstories/,"The Japan Times latest articles: politics, business, culture, life & sports.",en,Japan,commercial newspaper,headline+excerpt,medium,Japan-focused but with regular Asia and world coverage.
China.org.cn - General,http://www.china.org.cn/rss/1201719.xml,"China.org.cn general RSS: news about China, politics, economy, culture.",en,China,state-affiliated portal,headline+excerpt,medium,Official portal aggregating Chinese government and state-media content.
Clarín - Mundo,https://www.clarin.com/rss/mundo/,Clarín Mundo: international news from major Argentine daily.,es,Argentina / global,commercial newspaper,headline+excerpt,high,"Clarín provides many RSS channels (Últimas Noticias, Política, Sociedad, Economía, etc.)."
